date,event,stage,team_a,team_b,score_a,score_b,best_of
2026-02-01,Major 1,Grand Final,Paris Gentle Mates,OpTic Texas,4,3,7
2026-03-29,Major 2,Grand Final,FaZe Vegas,OpTic Texas,4,1,7
2026-05-24,Major 3,Grand Final,LA Thieves,OpTic Texas,4,3,7
2026-06-28,Major 4,Grand Final,OpTic Texas,LA Thieves,4,3,7
2026-07-16,Champs 2026,Winners R1,Paris Gentle Mates,Toronto KOI,3,0,5
2026-07-16,Champs 2026,Winners R1,Riyadh Falcons,LA Thieves,3,1,5
2026-07-16,Champs 2026,Winners R1,FaZe Vegas,G2 Minnesota,3,1,5
